date,season_judgment,judgment_basis,confidence,index_close,index_change_pct,volume,return_5d,return_10d,return_20d,is_correct,pnl_ratio,max_drawdown_20d
20240409,未知,"{'日期': '20240409', '收盘价': np.float64(3048.54), '涨跌幅%': np.float64(0.05), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-0.05), '大阴线': np.False_, '5日跌幅%': np.float64(0.24), '10日跌幅%': np.float64(0.02), '连续下跌': np.False_, '量能比': np.float64(0.9), '放量杀跌': np.False_, '价格与60日线%': np.float64(3.34), '跌破60日线': np.False_, 'RSI': np.float64(42.78), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(0.24), '10日涨幅%': np.float64(0.02), '20日涨幅%': np.float64(0.08), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-0.49), '偏离20日线%': np.float64(-0.1), '严重偏离均线': np.False_, '5日均量': 368733761, '20日均量': 368050486, '缩量上涨': np.False_, 'RSI': np.float64(42.78), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3048.54), '高点回撤%': np.float64(1.34), '强势股补跌': np.False_}, '判断逻辑': '信号混杂，季节不明', '置信度': 0.5}",0.5,3048.54,0.05,333489965,-1.36,-0.87,3.48,False,0.0,1.7
20240410,未知,"{'日期': '20240410', '收盘价': np.float64(3027.33), '涨跌幅%': np.float64(-0.7), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(0.7), '大阴线': np.False_, '5日跌幅%': np.float64(-1.63), '10日跌幅%': np.float64(0.03), '连续下跌': np.False_, '量能比': np.float64(0.95), '放量杀跌': np.False_, '价格与60日线%': np.float64(2.56), '跌破60日线': np.False_, 'RSI': np.float64(42.94), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(-1.63), '10日涨幅%': np.float64(0.03), '20日涨幅%': np.float64(-1.34), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-0.85), '偏离20日线%': np.float64(-0.73), '严重偏离均线': np.False_, '5日均量': 368467197, '20日均量': 368764764, '缩量上涨': np.False_, 'RSI': np.float64(42.94), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3027.33), '高点回撤%': np.float64(2.03), '强势股补跌': np.False_}, '判断逻辑': '信号混杂，季节不明', '置信度': 0.5}",0.5,3027.33,-0.7,348991721,1.46,0.58,3.99,False,0.0,1.7
20240411,未知,"{'日期': '20240411', '收盘价': np.float64(3034.25), '涨跌幅%': np.float64(0.23), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-0.23), '大阴线': np.False_, '5日跌幅%': np.float64(-1.32), '10日跌幅%': np.float64(0.09), '连续下跌': np.False_, '量能比': np.float64(0.94), '放量杀跌': np.False_, '价格与60日线%': np.float64(2.71), '跌破60日线': np.False_, 'RSI': np.float64(40.58), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(-1.32), '10日涨幅%': np.float64(0.09), '20日涨幅%': np.float64(-0.71), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-0.36), '偏离20日线%': np.float64(-0.47), '严重偏离均线': np.False_, '5日均量': 363186813, '20日均量': 368133909, '缩量上涨': np.False_, 'RSI': np.float64(40.58), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3034.25), '高点回撤%': np.float64(1.81), '强势股补跌': np.False_}, '判断逻辑': '信号混杂，季节不明', '置信度': 0.5}",0.5,3034.25,0.23,340894392,1.32,0.61,3.68,False,0.0,1.7
20240412,未知,"{'日期': '20240412', '收盘价': np.float64(3019.47), '涨跌幅%': np.float64(-0.49), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(0.49), '大阴线': np.False_, '5日跌幅%': np.float64(-1.62), '10日跌幅%': np.float64(0.88), '连续下跌': np.False_, '量能比': np.float64(0.92), '放量杀跌': np.False_, '价格与60日线%': np.float64(2.14), '跌破60日线': np.False_, 'RSI': np.float64(38.62), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(-1.62), '10日涨幅%': np.float64(0.88), '20日涨幅%': np.float64(-0.8), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-0.52), '偏离20日线%': np.float64(-0.91), '严重偏离均线': np.False_, '5日均量': 357904839, '20日均量': 364391433, '缩量上涨': np.False_, 'RSI': np.float64(38.62), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3019.47), '高点回撤%': np.float64(2.28), '强势股补跌': np.False_}, '判断逻辑': '信号混杂，季节不明', '置信度': 0.5}",0.5,3019.47,-0.49,334229771,1.52,2.29,3.33,False,0.0,1.7
20240415,夏长,"{'日期': '20240415', '收盘价': np.float64(3057.38), '涨跌幅%': np.float64(1.26), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-1.26), '大阴线': np.False_, '5日跌幅%': np.float64(0.34), '10日跌幅%': np.float64(1.55), '连续下跌': np.False_, '量能比': np.float64(1.25), '放量杀跌': np.False_, '价格与60日线%': np.float64(3.31), '跌破60日线': np.False_, 'RSI': np.float64(51.78), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(0.34), '10日涨幅%': np.float64(1.55), '20日涨幅%': np.float64(0.63), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(0.66), '偏离20日线%': np.float64(0.3), '严重偏离均线': np.False_, '5日均量': 352108517, '20日均量': 362850549, '缩量上涨': np.False_, 'RSI': np.float64(51.78), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3057.38), '高点回撤%': np.float64(1.06), '强势股补跌': np.False_}, '判断逻辑': '震荡上行，疑似夏长', '置信度': 0.55}",0.55,3057.38,1.26,461239244,-0.42,1.82,2.13,True,1.82,1.7
20240416,未知,"{'日期': '20240416', '收盘价': np.float64(3007.07), '涨跌幅%': np.float64(-1.65), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(1.65), '大阴线': np.False_, '5日跌幅%': np.float64(-1.36), '10日跌幅%': np.float64(-1.12), '连续下跌': np.False_, '量能比': np.float64(1.2), '放量杀跌': np.False_, '价格与60日线%': np.float64(1.55), '跌破60日线': np.False_, 'RSI': np.float64(46.69), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(-1.36), '10日涨幅%': np.float64(-1.12), '20日涨幅%': np.float64(-1.56), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-0.73), '偏离20日线%': np.float64(-1.27), '严重偏离均线': np.False_, '5日均量': 363769018, '20日均量': 367708897, '缩量上涨': np.False_, 'RSI': np.float64(46.69), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3007.07), '高点回撤%': np.float64(2.69), '强势股补跌': np.False_}, '判断逻辑': '信号混杂，季节不明', '置信度': 0.5}",0.5,3007.07,-1.65,448070473,0.5,3.25,4.89,False,0.0,1.7
20240417,夏长,"{'日期': '20240417', '收盘价': np.float64(3071.38), '涨跌幅%': np.float64(2.14), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-2.14), '大阴线': np.False_, '5日跌幅%': np.float64(1.46), '10日跌幅%': np.float64(-0.19), '连续下跌': np.False_, '量能比': np.float64(1.11), '放量杀跌': np.False_, '价格与60日线%': np.float64(3.61), '跌破60日线': np.False_, 'RSI': np.float64(55.7), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(1.46), '10日涨幅%': np.float64(-0.19), '20日涨幅%': np.float64(-0.44), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(1.1), '偏离20日线%': np.float64(0.86), '严重偏离均线': np.False_, '5日均量': 386685120, '20日均量': 372098997, '缩量上涨': np.False_, 'RSI': np.float64(55.7), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3071.38), '高点回撤%': np.float64(0.6), '强势股补跌': np.False_}, '判断逻辑': '震荡上行，疑似夏长', '置信度': 0.55}",0.55,3071.38,2.14,413358368,-0.86,2.26,3.25,True,2.26,1.7
20240418,夏长,"{'日期': '20240418', '收盘价': np.float64(3074.22), '涨跌幅%': np.float64(0.09), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-0.09), '大阴线': np.False_, '5日跌幅%': np.float64(1.32), '10日跌幅%': np.float64(-0.02), '连续下跌': np.False_, '量能比': np.float64(1.11), '放量杀跌': np.False_, '价格与60日线%': np.float64(3.59), '跌破60日线': np.False_, 'RSI': np.float64(62.9), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(1.32), '10日涨幅%': np.float64(-0.02), '20日涨幅%': np.float64(0.37), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(0.93), '偏离20日线%': np.float64(0.93), '严重偏离均线': np.False_, '5日均量': 399558449, '20日均量': 372434240, '缩量上涨': np.False_, 'RSI': np.float64(62.9), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3090.05), '当前价格': np.float64(3074.22), '高点回撤%': np.float64(0.51), '强势股补跌': np.False_}, '判断逻辑': '震荡上行，疑似夏长', '置信度': 0.55}",0.55,3074.22,0.09,416321349,-0.69,2.39,2.72,True,2.39,1.7
20240419,夏长,"{'日期': '20240419', '收盘价': np.float64(3065.26), '涨跌幅%': np.float64(-0.29), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(0.29), '大阴线': np.False_, '5日跌幅%': np.float64(1.52), '10日跌幅%': np.float64(-0.13), '连续下跌': np.False_, '量能比': np.float64(1.0), '放量杀跌': np.False_, '价格与60日线%': np.float64(3.19), '跌破60日线': np.False_, 'RSI': np.float64(58.93), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(1.52), '10日涨幅%': np.float64(-0.13), '20日涨幅%': np.float64(-0.47), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(0.33), '偏离20日线%': np.float64(0.66), '严重偏离均线': np.False_, '5日均量': 414643841, '20日均量': 374044124, '缩量上涨': np.False_, 'RSI': np.float64(58.93), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3102.55), '当前价格': np.float64(3065.26), '高点回撤%': np.float64(1.2), '强势股补跌': np.False_}, '判断逻辑': '趋势向上，夏长持股', '置信度': 0.65}",0.65,3065.26,-0.29,375543855,0.76,2.06,3.04,True,2.06,1.41
20240422,夏长,"{'日期': '20240422', '收盘价': np.float64(3044.6), '涨跌幅%': np.float64(-0.67), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(0.67), '大阴线': np.False_, '5日跌幅%': np.float64(-0.42), '10日跌幅%': np.float64(-0.08), '连续下跌': np.False_, '量能比': np.float64(0.95), '放量杀跌': np.False_, '价格与60日线%': np.float64(2.37), '跌破60日线': np.False_, 'RSI': np.float64(50.58), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(-0.42), '10日涨幅%': np.float64(-0.08), '20日涨幅%': np.float64(-1.06), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-0.26), '偏离20日线%': np.float64(0.04), '严重偏离均线': np.False_, '5日均量': 422906657, '20日均量': 375361930, '缩量上涨': np.False_, 'RSI': np.float64(50.58), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3102.55), '当前价格': np.float64(3044.6), '高点回撤%': np.float64(1.87), '强势股补跌': np.False_}, '判断逻辑': '趋势向上，夏长持股', '置信度': 0.65}",0.65,3044.6,-0.67,357216399,2.25,3.6,2.36,True,3.6,1.1
20240423,未知,"{'日期': '20240423', '收盘价': np.float64(3021.98), '涨跌幅%': np.float64(-0.74), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(0.74), '大阴线': np.False_, '5日跌幅%': np.float64(0.5), '10日跌幅%': np.float64(-0.87), '连续下跌': np.False_, '量能比': np.float64(0.88), '放量杀跌': np.False_, '价格与60日线%': np.float64(1.51), '跌破60日线': np.False_, 'RSI': np.float64(40.19), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(0.5), '10日涨幅%': np.float64(-0.87), '20日涨幅%': np.float64(-0.85), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-1.1), '偏离20日线%': np.float64(-0.66), '严重偏离均线': np.False_, '5日均量': 402102088, '20日均量': 374878852, '缩量上涨': np.False_, 'RSI': np.float64(40.19), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3102.55), '当前价格': np.float64(3021.98), '高点回撤%': np.float64(2.6), '强势股补跌': np.False_}, '判断逻辑': '信号混杂，季节不明', '置信度': 0.5}",0.5,3021.98,-0.74,325595128,2.74,4.39,2.21,False,0.0,1.73
20240424,夏长,"{'日期': '20240424', '收盘价': np.float64(3044.82), '涨跌幅%': np.float64(0.76), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-0.76), '大阴线': np.False_, '5日跌幅%': np.float64(-0.86), '10日跌幅%': np.float64(0.58), '连续下跌': np.False_, '量能比': np.float64(0.83), '放量杀跌': np.False_, '价格与60日线%': np.float64(2.16), '跌破60日线': np.False_, 'RSI': np.float64(45.02), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(-0.86), '10日涨幅%': np.float64(0.58), '20日涨幅%': np.float64(0.61), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(-0.18), '偏离20日线%': np.float64(0.06), '严重偏离均线': np.False_, '5日均量': 377607019, '20日均量': 371421584, '缩量上涨': np.False_, 'RSI': np.float64(45.02), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3102.55), '当前价格': np.float64(3044.82), '高点回撤%': np.float64(1.86), '强势股补跌': np.False_}, '判断逻辑': '趋势向上，夏长持股', '置信度': 0.65}",0.65,3044.82,0.76,305264093,3.15,3.39,2.6,True,3.39,2.59
20240425,夏长,"{'日期': '20240425', '收盘价': np.float64(3052.9), '涨跌幅%': np.float64(0.27), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-0.27), '大阴线': np.False_, '5日跌幅%': np.float64(-0.69), '10日跌幅%': np.float64(0.61), '连续下跌': np.False_, '量能比': np.float64(0.8), '放量杀跌': np.False_, '价格与60日线%': np.float64(2.26), '跌破60日线': np.False_, 'RSI': np.float64(47.31), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(-0.69), '10日涨幅%': np.float64(0.61), '20日涨幅%': np.float64(0.71), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(0.23), '偏离20日线%': np.float64(0.29), '严重偏离均线': np.False_, '5日均量': 355988164, '20日均量': 367310519, '缩量上涨': np.False_, 'RSI': np.float64(47.31), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3102.55), '当前价格': np.float64(3052.9), '高点回撤%': np.float64(1.6), '强势股补跌': np.False_}, '判断逻辑': '趋势向上，夏长持股', '置信度': 0.65}",0.65,3052.9,0.27,292280148,3.11,3.04,1.86,True,3.04,2.59
20240426,夏长,"{'日期': '20240426', '收盘价': np.float64(3088.64), '涨跌幅%': np.float64(1.17), '趋势向上': np.False_, '趋势向下': np.False_, '趋势震荡': True, '均线多头排列': np.False_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-1.17), '大阴线': np.False_, '5日跌幅%': np.float64(0.76), '10日跌幅%': np.float64(2.29), '连续下跌': np.False_, '量能比': np.float64(1.19), '放量杀跌': np.False_, '价格与60日线%': np.float64(3.28), '跌破60日线': np.False_, 'RSI': np.float64(56.53), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(0.76), '10日涨幅%': np.float64(2.29), '20日涨幅%': np.float64(3.19), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(1.25), '偏离20日线%': np.float64(1.3), '严重偏离均线': np.False_, '5日均量': 331179924, '20日均量': 364628087, '缩量上涨': np.False_, 'RSI': np.float64(56.53), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3102.55), '当前价格': np.float64(3088.64), '高点回撤%': np.float64(0.45), '强势股补跌': np.False_}, '判断逻辑': '震荡上行，疑似夏长', '置信度': 0.55}",0.55,3088.64,1.17,439382563,1.29,1.01,0.72,True,1.01,2.59
20240429,夏长,"{'日期': '20240429', '收盘价': np.float64(3113.04), '涨跌幅%': np.float64(0.79), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-0.79), '大阴线': np.False_, '5日跌幅%': np.float64(2.25), '10日跌幅%': np.float64(1.82), '连续下跌': np.False_, '量能比': np.float64(1.34), '放量杀跌': np.True_, '价格与60日线%': np.float64(3.92), '跌破60日线': np.False_, 'RSI': np.float64(59.44), 'RSI超卖': np.False_, '恐慌评分': '1/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(2.25), '10日涨幅%': np.float64(1.82), '20日涨幅%': np.float64(3.4), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(1.59), '偏离20日线%': np.float64(1.93), '严重偏离均线': np.False_, '5日均量': 343947666, '20日均量': 369437315, '缩量上涨': np.False_, 'RSI': np.float64(59.44), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3102.55), '当前价格': np.float64(3113.04), '高点回撤%': np.float64(-0.34), '强势股补跌': np.False_}, '判断逻辑': '趋势向上，夏长持股', '置信度': 0.65}",0.65,3113.04,0.79,506925445,1.33,0.3,-0.69,True,0.3,2.59
20240430,夏长,"{'日期': '20240430', '收盘价': np.float64(3104.82), '涨跌幅%': np.float64(-0.26), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(0.26), '大阴线': np.False_, '5日跌幅%': np.float64(2.74), '10日跌幅%': np.float64(3.25), '连续下跌': np.False_, '量能比': np.float64(1.15), '放量杀跌': np.False_, '价格与60日线%': np.float64(3.53), '跌破60日线': np.False_, 'RSI': np.float64(61.79), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(2.74), '10日涨幅%': np.float64(3.25), '20日涨幅%': np.float64(2.09), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(0.78), '偏离20日线%': np.float64(1.56), '严重偏离均线': np.False_, '5日均量': 373889475, '20日均量': 377123586, '缩量上涨': np.False_, 'RSI': np.float64(61.79), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3119.69), '当前价格': np.float64(3104.82), '高点回撤%': np.float64(0.48), '强势股补跌': np.False_}, '判断逻辑': '趋势向上，夏长持股', '置信度': 0.65}",0.65,3104.82,-0.26,440213213,1.6,1.58,-0.58,True,1.58,2.59
20240506,夏长,"{'日期': '20240506', '收盘价': np.float64(3140.72), '涨跌幅%': np.float64(1.16), '趋势向上': np.True_, '趋势向下': np.False_, '趋势震荡': False, '均线多头排列': np.True_, '均线空头排列': np.False_, '恐慌信号': np.False_, '恐慌详情': {'单日跌幅%': np.float64(-1.16), '大阴线': np.False_, '5日跌幅%': np.float64(3.15), '10日跌幅%': np.float64(2.26), '连续下跌': np.False_, '量能比': np.float64(1.17), '放量杀跌': np.False_, '价格与60日线%': np.float64(4.6), '跌破60日线': np.False_, 'RSI': np.float64(64.89), 'RSI超卖': np.False_, '恐慌评分': '0/5', '恐慌确认': np.False_}, '高潮信号': np.False_, '高潮详情': {'5日涨幅%': np.float64(3.15), '10日涨幅%': np.float64(2.26), '20日涨幅%': np.float64(2.06), '短期大涨': np.False_, '中期大涨': np.False_, '偏离5日线%': np.float64(1.31), '偏离20日线%': np.float64(2.62), '严重偏离均线': np.False_, '5日均量': 396813092, '20日均量': 382393107, '缩量上涨': np.False_, 'RSI': np.float64(64.89), 'RSI超买': np.False_, '高潮评分': '0/5', '高潮确认': np.False_}, '强势股补跌': np.False_, '补跌详情': {'前期高点': np.float64(3123.29), '当前价格': np.float64(3140.72), '高点回撤%': np.float64(-0.56), '强势股补跌': np.False_}, '判断逻辑': '趋势向上，夏长持股', '置信度': 0.65}",0.65,3140.72,1.16,450656899,0.23,0.97,-1.98,True,0.97,2.66
